DCO,DEV,SENS,Volume_DEV
1/3/2022,AED,Achat,21654.50
1/4/2022,AED,Achat,83.89
2/18/2022,AED,Achat,5132.23
2/19/2022,AED,Achat,24167.50
1/5/2022,AED,Achat,5365.42
1/5/2022,AED,Achat,7731.50
1/6/2022,AED,Achat,6286.00
1/7/2022,AED,Achat,2100.00
1/7/2022,AED,Achat,11844.00
1/10/2022,AED,Achat,4816.32
1/10/2022,AED,Achat,21756.00
1/11/2022,AED,Achat,3741.32
1/11/2022,AED,Achat,2936.50
1/12/2022,AED,Achat,12421.50
1/13/2022,AED,Achat,2590.00
1/13/2022,AED,Achat,5484.50
1/14/2022,AED,Achat,1695.74
1/14/2022,AED,Achat,8753.50
1/14/2022,AED,Achat,6.85
1/17/2022,AED,Achat,4600.06
1/17/2022,AED,Achat,36368.50
1/18/2022,AED,Achat,4686.50
1/19/2022,AED,Achat,2814.00
1/19/2022,AED,Achat,3290.00
1/20/2022,AED,Achat,2726.50
1/21/2022,AED,Achat,7581.00
1/21/2022,AED,Achat,839.59
1/24/2022,AED,Achat,8081.50
1/24/2022,AED,Achat,12365.75
1/25/2022,AED,Achat,6254.50
1/26/2022,AED,Achat,10129.00
1/27/2022,AED,Achat,5372.50
1/28/2022,AED,Achat,11623.50
1/28/2022,AED,Achat,47072.47
1/31/2022,AED,Achat,187.96
1/31/2022,AED,Achat,1853.11
1/31/2022,AED,Achat,9271.50
2/1/2022,AED,Achat,2796.50
2/1/2022,AED,Achat,3719.10
2/2/2022,AED,Achat,2590.00
2/2/2022,AED,Achat,8497.71
2/3/2022,AED,Achat,2733.50
2/4/2022,AED,Achat,12302.50
2/4/2022,AED,Achat,1783.99
2/7/2022,AED,Achat,36018.50
2/7/2022,AED,Achat,17219.57
2/8/2022,AED,Achat,15039.23
2/8/2022,AED,Achat,33848.50
2/9/2022,AED,Achat,16205.00
2/9/2022,AED,Achat,1497.04
2/10/2022,AED,Achat,1009.62
2/10/2022,AED,Achat,6300.00
2/11/2022,AED,Achat,13062.00
2/14/2022,AED,Achat,142499.41
2/14/2022,AED,Achat,11816.00
2/15/2022,AED,Achat,104.96
2/15/2022,AED,Achat,19845.00
2/16/2022,AED,Achat,465.79
2/16/2022,AED,Achat,2373.00
2/17/2022,AED,Achat,5292.00
2/18/2022,AED,Achat,6944.00
2/18/2022,AED,Achat,17129.00
2/21/2022,AED,Achat,45.78
2/21/2022,AED,Achat,15368.50
2/21/2022,AED,Achat,3095.60
2/22/2022,AED,Achat,5327.00
2/22/2022,AED,Achat,16120.26
2/23/2022,AED,Achat,1900.50
2/23/2022,AED,Achat,5.22
2/24/2022,AED,Achat,16660.00
2/25/2022,AED,Achat,9653.00
2/25/2022,AED,Achat,18144.00
2/28/2022,AED,Achat,180.68
2/28/2022,AED,Achat,26208.00
3/1/2022,AED,Achat,3111.50
3/1/2022,AED,Achat,4680.80
3/2/2022,AED,Achat,32245.50
3/3/2022,AED,Achat,0.92
3/3/2022,AED,Achat,2296.00
3/4/2022,AED,Achat,5701.50
3/4/2022,AED,Achat,6751.70
3/7/2022,AED,Achat,19572.00
3/8/2022,AED,Achat,84077.00
3/8/2022,AED,Achat,1834.00
3/9/2022,AED,Achat,18142.00
3/9/2022,AED,Achat,6163.50
3/10/2022,AED,Achat,7780.50
3/11/2022,AED,Achat,7388.85
3/11/2022,AED,Achat,6601.00
3/14/2022,AED,Achat,9044.00
3/14/2022,AED,Achat,31496.50
3/15/2022,AED,Achat,25975.58
3/15/2022,AED,Achat,10895.50
3/16/2022,AED,Achat,4346.01
3/16/2022,AED,Achat,17993.50
3/17/2022,AED,Achat,700.00
3/17/2022,AED,Achat,33841.50
3/18/2022,AED,Achat,9067.37
3/18/2022,AED,Achat,32.36
3/18/2022,AED,Achat,37180.50
3/21/2022,AED,Achat,706.96
3/21/2022,AED,Achat,13853.00
3/21/2022,AED,Achat,5.03
3/22/2022,AED,Achat,8085.00
3/22/2022,AED,Achat,10532.97
3/23/2022,AED,Achat,16726.50
3/23/2022,AED,Achat,55.94
3/24/2022,AED,Achat,17360.00
3/25/2022,AED,Achat,51215.50
3/25/2022,AED,Achat,126249.73
3/28/2022,AED,Achat,27.27
3/28/2022,AED,Achat,37663.50
3/28/2022,AED,Achat,3272.42
3/29/2022,AED,Achat,34149.50
3/30/2022,AED,Achat,18705.37
3/30/2022,AED,Achat,1197.00
4/1/2022,AED,Achat,18952.50
4/1/2022,AED,Achat,10.29
4/4/2022,AED,Achat,203059.50
4/4/2022,AED,Achat,209.92
4/4/2022,AED,Achat,90.99
4/5/2022,AED,Achat,31822.00
4/5/2022,AED,Achat,5421.50
4/6/2022,AED,Achat,104.96
4/6/2022,AED,Achat,152.84
4/6/2022,AED,Achat,29428.00
4/7/2022,AED,Achat,86345.00
4/7/2022,AED,Achat,5140.03
4/8/2022,AED,Achat,15723.25
4/8/2022,AED,Achat,74693.50
4/11/2022,AED,Achat,10475.50
4/12/2022,AED,Achat,18774.00
4/13/2022,AED,Achat,41688.50
4/13/2022,AED,Achat,45.28
4/13/2022,AED,Achat,877.96
4/14/2022,AED,Achat,1.04
4/14/2022,AED,Achat,11896.50
4/15/2022,AED,Achat,7735.00
4/15/2022,AED,Achat,258.11
4/18/2022,AED,Achat,47.96
4/18/2022,AED,Achat,1385.78
4/18/2022,AED,Achat,17748.50
4/19/2022,AED,Achat,1.04
4/19/2022,AED,Achat,5908.00
4/19/2022,AED,Achat,3894.15
4/20/2022,AED,Achat,6632.50
4/20/2022,AED,Achat,350.00
4/21/2022,AED,Achat,55.26
4/21/2022,AED,Achat,24724.00
4/22/2022,AED,Achat,10570.00
4/22/2022,AED,Achat,7889.00
4/22/2022,AED,Achat,1.04
4/25/2022,AED,Achat,8922.87
4/25/2022,AED,Achat,32924.50
4/26/2022,AED,Achat,18678.39
4/26/2022,AED,Achat,1641.50
4/27/2022,AED,Achat,1067.50
4/27/2022,AED,Achat,2139.38
4/28/2022,AED,Achat,6597.50
4/29/2022,AED,Achat,104.96
4/29/2022,AED,Achat,178.16
4/29/2022,AED,Achat,22540.00
5/4/2022,AED,Achat,7841.54
5/4/2022,AED,Achat,39756.50
5/5/2022,AED,Achat,2614.46
5/5/2022,AED,Achat,26043.50
5/5/2022,AED,Achat,9.81
5/6/2022,AED,Achat,74578.00
5/9/2022,AED,Achat,6.33
5/9/2022,AED,Achat,48.37
5/9/2022,AED,Achat,21287.00
5/10/2022,AED,Achat,15500.56
5/10/2022,AED,Achat,22165.50
5/10/2022,AED,Achat,6.36
5/11/2022,AED,Achat,20.40
5/11/2022,AED,Achat,8750.00
5/12/2022,AED,Achat,7168.00
5/12/2022,AED,Achat,520.86
5/12/2022,AED,Achat,263.26
5/13/2022,AED,Achat,19757.50
5/13/2022,AED,Achat,1733.08
5/16/2022,AED,Achat,26309.50
5/16/2022,AED,Achat,5.91
5/17/2022,AED,Achat,20.01
5/17/2022,AED,Achat,9477.27
5/17/2022,AED,Achat,28255.50
5/18/2022,AED,Achat,4669.00
5/18/2022,AED,Achat,86.65
5/19/2022,AED,Achat,4112.50
