DCO,AED_B,CAD_B,CHF_B,DKK_B,EUR_B,GBP_B,KWD_B,QAR_B,SAR_B,SEK_B,USD_B
1/2/2022,6.516,397.942,593.6030000000001,,566.732,513.003,35.0,18.421,60.094,11.842,535.79
1/3/2022,7.793,357.552,528.191,419.0,585.261,184.503,5.11,41.376000000000005,439.43399999999997,12.149000000000001,624.9680000000001
1/4/2022,28.953,158.222,563.336,896.585,173.28599999999997,141.468,159.0,502.608,350.44500000000005,219.25900000000001,97.526
1/6/2022,1225.0,356.863,823.856,55.236999999999995,609.404,147.045,218.0,577.857,155.17200000000003,674.593,488.072
1/7/2022,31.591,161.358,736.302,1.68,1554.6350000000002,148.522,698.453,619.715,360.641,71.914,269.962
1/8/2022,123.768,402.231,429.21,806.0,1151.973,275.733,624.0,864.436,189.691,25.673000000000002,244.777
1/9/2022,6.297000000000001,105.566,566.896,,1335.564,99.91499999999999,35.0,54.912,288.78999999999996,27.987,379.58
10/1/2022,26.572,243.125,242.685,350.0,1282.985,541.97,119.0,3.177,463.793,8.61,87.777
10/2/2022,26.3,250.23399999999998,102.038,70.0,1066.648,1195.0,5.852,117.32,26.789,332.921,1003.297
10/3/2022,7.781,224.069,871.517,,1408.409,280.754,35.0,484.8,37.076,183.1,243.784
10/5/2022,37.667,24.162,363.063,19.968,962.6080000000001,206.701,,3.53,788.4110000000001,,291.173
10/6/2022,531.86,44.908,408.578,970.0,1328.48,272.197,99.0,630.855,380.93399999999997,19.285,332.411
10/8/2022,287.467,705.676,203.447,70.0,1156.943,164.912,532.0,142.178,338.446,246.28,291.99
11/1/2022,6.678,301.574,410.397,89.67,688.8710000000001,305.922,231.0,8.288,1144.076,726.579,339.222
11/2/2022,1.362,1237.0,272.61,700.0,1065.905,65.996,459.0,32.871,88.079,129.73499999999999,182.65699999999998
11/3/2022,13.99,281.688,409.858,,1145.014,249.494,415.0,925.917,135.745,86.929,282.011
11/4/2022,10.476,120.549,825.207,53.628,1157.4830000000002,247.12900000000002,,9.552,824.513,452.422,707.155
11/5/2022,28.75,196.9,1067.6480000000001,2.8,1156.488,332.08700000000005,147.0,7.498,114.971,14.869,273.719
11/7/2022,103.69900000000001,375.907,335.008,58.59,1996.74,130.28300000000002,62.548,834.233,713.46,380.94,605.593
11/8/2022,97.519,435.365,1195.368,150.0,2094.232,94.903,343.0,32.225,116.94500000000001,80.305,384.736
12/1/2022,12.422,88.324,299.625,10.92,1020.718,220.602,21.0,473.97,44.513000000000005,286.105,288.783
12/4/2022,18.774,289.572,493.346,,955.725,470.755,183.0,4.48,48.272999999999996,240.017,271.069
12/5/2022,791.168,630.901,659.365,10.15,1619.077,21.525000000000002,159.0,19.451,68.101,27.467000000000002,234.914
12/7/2022,229.95,31.615000000000002,443.349,700.0,1449.5990000000002,157.088,8.063,741.475,290.01,40.32,188.883
12/8/2022,890.74,263.565,73.547,840.0,1426.242,199.487,1.18,971.906,80.074,10.934,192.333
12/9/2022,30.292,158.844,627.563,7.63,894.171,579.233,1.261,257.994,196.382,192.166,138.18699999999998
13/1/2022,8.075,77.533,795.552,1.4,1115.8809999999999,882.664,74.0,13.706,259.443,382.581,988.826
13/4/2022,964.689,513.525,413.11,9.1,1645.7630000000001,606.226,1019.0,91.49,54.175,155.779,154.20000000000002
13/5/2022,21.491,92.48599999999999,425.57,,803.694,135.106,347.0,88.669,406.23,7.511,238.713
13/6/2022,389.082,393.096,676.313,700.0,747.43,140.74099999999999,749.0,406.288,186.816,292.666,271.602
13/7/2022,63.928,60.584,141.343,840.0,639.371,159.122,250.847,228.248,503.53499999999997,60.598000000000006,314.64599999999996
13/9/2022,514.378,522.181,934.812,350.0,1614.253,453.817,249.0,357.39,960.35,159.437,264.782
14/1/2022,10.45,44.223,413.448,70.0,1265.67,279.002,62.0,26.393,196.827,40.6,218.81799999999998
14/2/2022,154.315,44.879,945.485,23.17,1249.9959999999999,330.30699999999996,966.0,18.898,73.09599999999999,16.111,230.778
14/3/2022,975.497,220.709,328.048,30.1,1097.275,619.621,857.0,124.597,25.874000000000002,784.061,313.544
14/4/2022,11.897,426.478,471.939,,1170.7649999999999,210.232,,6.775,207.811,561.4,255.648
14/6/2022,240.55599999999998,498.344,550.711,916.885,1249.9650000000001,345.043,981.216,884.492,511.351,23.269000000000002,376.67699999999996
14/7/2022,75.327,215.127,247.988,10.5,1266.069,174.015,844.0,437.875,248.786,320.6,138.997
14/9/2022,4.0009999999999994,114.495,428.474,840.0,1321.805,227.26,575.0,55.209,708.8389999999999,849.804,93.929
15/2/2022,124.845,38.505,653.828,1.4,1275.829,1043.17,224.0,454.814,51.17,278.353,147.81799999999998
15/3/2022,36.872,444.502,137.799,,1242.301,113.493,0.0,650.229,106.002,355.991,350.45799999999997
15/4/2022,265.735,275.917,175.861,1536.0,1050.837,196.248,1.779,66.638,175.308,824.2919999999999,367.945
15/6/2022,36.278,234.36,293.043,350.0,837.88,338.219,623.0,653.105,940.463,81.267,217.913
15/7/2022,1097.433,274.341,492.799,4.62,1947.776,59.278999999999996,71.624,36.926,206.266,116.84,555.3779999999999
15/8/2022,176.757,296.415,370.589,210.0,2267.9,445.69399999999996,225.0,576.971,175.526,406.22,314.992
15/9/2022,10.14,279.496,13.842,17.5,1803.193,360.321,252.0,11.488,382.871,11.9,141.724
16/2/2022,468.373,23.451999999999998,893.335,56.7,986.113,81.983,32.0,326.0,129.61700000000002,5.32,201.12400000000002
16/3/2022,22.34,26.899,435.907,,1102.285,14.499,735.0,24.654999999999998,22.324,366.7,268.815
16/5/2022,26.31,118.259,314.096,840.0,1414.513,166.439,351.0,7.034,111.797,13.125,228.07
16/6/2022,17.318,41.067,221.387,10.15,1591.166,371.743,299.0,110.912,7.856999999999999,11.361,270.583
16/8/2022,61.748000000000005,172.198,521.3,32.2,532.693,66.33500000000001,385.0,261.313,50.939,257.08,192.769
16/9/2022,125.748,144.38400000000001,560.951,23.45,1624.6200000000001,79.63,961.0,484.993,23.605999999999998,269.264,796.0219999999999
17/1/2022,40.969,439.325,436.09,5.95,539.488,15.201999999999998,448.0,14.47,69.701,699.158,78.83
17/2/2022,5.292,299.465,563.124,705.6,1361.27,71.288,,14.635,5.832,2.362,490.321
17/3/2022,733.842,211.474,614.154,3.5,721.1700000000001,123.113,,2.9699999999999998,80.97,853.901,821.554
17/5/2022,57.733000000000004,109.988,1073.806,1.676,836.7779999999999,26.715,350.0,790.65,268.914,84.12,58.01
17/6/2022,206.626,472.386,750.7139999999999,700.0,1427.212,82.42699999999999,450.0,881.899,93.934,24.535,283.976
17/8/2022,886.592,210.322,353.994,700.0,1433.096,502.408,812.0,61.54,177.108,794.81,239.643
18/1/2022,4.687,13.616,146.275,7.265,1334.459,616.447,98.0,7.513,118.569,937.963,184.401
18/2/2022,24.073,298.75,273.282,,477.214,411.0,99.365,16.391,512.427,415.274,389.298
18/3/2022,1036.181,458.097,261.971,2.94,1151.109,265.66,553.0,39.552,114.482,19.662,337.449
18/4/2022,67.13499999999999,40.51,158.73,7.21,979.8019999999999,67.827,389.0,9.807,264.577,15.26,280.471
18/5/2022,91.669,66.487,419.995,1.4,1166.999,865.695,468.0,1.61,93.051,536.532,274.668
18/7/2022,370.866,65.43299999999999,324.246,23.880000000000003,1506.348,551.705,458.608,115.496,437.68100000000004,134.749,343.921
18/8/2022,6.036,21.428,241.329,,1002.601,20.817,133.0,9.455,120.81099999999999,181.63500000000002,243.60199999999998
19/1/2022,6.104,1634.8,745.004,2.1,390.94100000000003,519.366,93.0,4.731,102.015,480.59,368.27799999999996
19/4/2022,9.802,308.797,46.36,,447.302,26.504,,878.0,6.509,16.94,235.315
19/5/2022,97.356,104.911,393.101,1.75,1158.665,94.218,715.0,880.517,36.308,2.8,80.46000000000001
19/7/2022,34.79,297.965,434.016,460.0,1539.852,52.549,2.237,1053.13,340.081,71.918,469.11299999999994
19/8/2022,160.048,230.944,26.017000000000003,,1317.062,253.0,697.0,878.508,1073.277,274.121,480.817
19/9/2022,428.261,125.828,914.419,3.15,1171.612,42.297999999999995,352.0,3.38,180.30200000000002,73.15,949.006
2/2/2022,11.088,245.876,228.809,,1106.05,1029.614,414.12,636.0,163.272,13.429,189.99699999999999
2/3/2022,32.246,424.16,760.002,,476.047,253.973,282.0,361.0,62.216,2.115,501.593
2/6/2022,9.415000000000001,267.105,542.888,700.0,1635.061,711.225,632.0,33.446,85.84599999999999,511.688,272.349
2/8/2022,40.439,31.403,293.67,190.0,1316.444,595.072,991.0,865.497,331.51099999999997,43.673,289.517
2/9/2022,15.904,67.06700000000001,280.986,,1888.973,288.365,1.498,6.432,146.035,271.0,405.224
20/1/2022,2.727,361.791,181.443,140.0,720.982,143.278,280.0,3.753,66.70599999999999,,552.0110000000001
20/4/2022,356.633,380.139,686.605,884.138,1126.8310000000001,168.748,56.0,907.981,1123.104,29.543,173.418
20/5/2022,11.102,170.62,612.171,1.665,1224.825,181.757,188.0,84.0,118.22500000000001,6.5649999999999995,191.676
20/6/2022,33.935,108.372,467.688,560.0,1378.516,88.498,1.85,219.155,983.4490000000001,701.47,396.67999999999995
20/7/2022,371.748,953.727,70.361,5.25,1410.712,15.552,978.0,448.931,588.292,595.85,295.964
20/9/2022,150.504,366.408,216.152,700.0,1166.0790000000002,445.258,128.0,1.147,869.311,18.078,353.834
21/1/2022,847.581,4.056,782.558,2.275,1244.74,433.503,288.0,111.224,56.632,14.582,243.455
21/2/2022,457.369,31.469,23.814999999999998,176.661,1392.699,183.649,408.0,48.224,54.91,263.784,197.859
21/3/2022,720.853,1191.377,13.230999999999998,1658.0,844.481,1331.972,119.0,15.72,49.777,213.35,286.10900000000004
21/4/2022,79.724,14.968,481.309,,856.702,656.8050000000001,85.0,653.722,93.525,2.473,238.604
21/6/2022,7.441,43.364000000000004,598.56,1.665,770.892,150.428,611.0,965.836,687.318,19.375,339.797
21/7/2022,900.859,31.014000000000003,206.15699999999998,28.21,1202.978,312.792,2.204,747.726,164.36,81.041,313.72900000000004
21/9/2022,23.412,227.127,567.06,1.4,1419.551,606.029,544.0,3.46,411.002,10.817,246.69000000000003
22/2/2022,21.447000000000003,144.394,306.715,,1296.531,1672.0,1.799,541.504,336.284,11.047,181.286
22/3/2022,895.533,183.0,303.153,182.7,1529.518,296.59000000000003,987.0,24.828,233.84199999999998,11.388,475.915
22/4/2022,18.459,182.191,837.5029999999999,,1033.9650000000001,124.233,162.0,645.533,551.301,27.887,387.015
22/6/2022,13.103,218.023,286.079,,1197.593,32.096000000000004,1.718,21.443,286.77299999999997,25.328,512.1899999999999
22/7/2022,28.648,140.855,333.349,31.297,561.485,683.033,86.68,21.301,158.03400000000002,201.27100000000002,444.038
22/8/2022,15.103,143.829,625.45,1.694,1793.8719999999998,80.6,264.394,853.762,44.330000000000005,8.545,864.491
22/9/2022,15.646,183.495,364.803,230.0,1585.954,318.985,411.0,2.59,51.714999999999996,63.757000000000005,246.99800000000002
23/2/2022,1.901,304.868,604.142,140.0,1165.205,1099.985,84.0,893.806,470.53700000000003,617.368,38.591
23/3/2022,72.727,43.938,741.51,8.68,1118.8539999999998,281.923,350.0,19.859,6.734999999999999,426.515,262.38100000000003
23/5/2022,39.609,256.239,770.044,560.0,853.3019999999999,220.29500000000002,71.0,131.581,60.467999999999996,62.841,490.877
23/6/2022,31.88,463.701,313.916,150.0,1832.868,120.469,246.0,32.677,570.8530000000001,13.332,533.413
23/8/2022,27.682,259.313,473.52,,1289.99,162.458,39.498999999999995,1.3,707.512,11.61,403.15000000000003
23/9/2022,348.579,103.24,220.326,1.75,1575.638,220.199,425.0,831.681,36.975,6.79,227.259
24/1/2022,894.366,1529.0,198.078,,587.898,297.49,280.0,305.0,617.827,11.756,312.419
24/2/2022,16.66,69.749,616.797,,516.9780000000001,383.205,238.0,11.41,20.926,17.51,1320.595
24/3/2022,17.36,446.773,572.521,7.377000000000001,1510.242,199.053,413.0,460.413,50.843,624.531,460.108
24/5/2022,11.638,220.838,810.771,8.425,1669.4360000000001,375.939,500.0,785.257,99.14099999999999,163.1,272.26099999999997
24/6/2022,27.98,280.747,495.564,4.97,1192.771,14.164000000000001,414.0,728.82,486.68,15.912,104.812
24/8/2022,16.557000000000002,161.743,399.953,,1908.759,239.737,2.632,21.346999999999998,274.90000000000003,264.145,356.841
25/1/2022,6.255,103.94500000000001,285.196,2.94,555.507,282.65,52.0,6.054,189.833,25.820999999999998,173.714
25/2/2022,27.796999999999997,115.919,387.144,,1348.106,244.429,34.0,971.0,203.512,660.013,980.267
25/3/2022,177.466,21.284,309.425,1.68,1491.575,64.762,308.0,6.013,488.856,257.35,54.214
25/4/2022,41.848,12.929,945.5350000000001,,488.99399999999997,103.358,105.0,611.738,548.897,749.809,290.411
25/5/2022,362.384,652.124,457.898,350.0,1167.322,170.065,207.0,449.119,391.485,753.17,244.722
25/8/2022,30.373,348.301,53.706,,1890.226,133.416,284.0,4.165,453.606,1037.0,414.436
26/1/2022,10.129,247.11200000000002,649.216,700.0,1306.481,292.207,,5.482,448.636,707.119,201.596
26/4/2022,20.32,125.403,360.221,27.937,561.091,467.18600000000004,784.0,13.873,197.61700000000002,7.7,508.75600000000003
26/5/2022,8.551,45.558,304.194,311.0,731.419,129.357,1.792,1026.513,156.02499999999998,34.468,626.441
26/7/2022,54.896,212.354,496.973,11.62,805.678,355.678,144.492,38.735,173.12400000000002,13.577,1676.667
26/8/2022,51.139,78.205,188.862,,1835.158,105.319,1.355,428.207,853.2090000000001,702.1,342.707
26/9/2022,70.774,23.000999999999998,572.928,7.245,705.5350000000001,150.979,70.0,33.597,130.797,420.88,605.0169999999999
27/1/2022,5.373,359.862,747.111,3.15,1143.314,431.059,49.0,566.264,20.317,326.21,241.023
27/4/2022,170.139,372.418,492.455,,554.473,69.86,383.0,40.3,642.3109999999999,541.782,120.535
27/5/2022,215.327,118.394,200.61,1226.341,1403.327,203.699,1027.0,136.702,72.98700000000001,223.566,151.062
27/6/2022,1.428,319.923,580.575,861.77,1078.676,336.759,1.39,22.893,45.422,131.103,198.10500000000002
27/7/2022,53.725,330.96,603.735,201.11,933.784,286.506,232.999,105.999,750.616,171.462,355.899
28/1/2022,16.396,476.727,596.766,,471.483,13.724,190.0,6.427,613.213,164.465,623.941
28/2/2022,207.208,398.818,728.37,598.4639999999999,655.0889999999999,670.554,1.285,176.135,849.527,739.481,448.64700000000005
28/3/2022,67.936,739.211,835.711,1639.0,533.394,305.243,960.0,240.145,151.115,35.007000000000005,415.11800000000005
28/4/2022,6.598,1079.401,202.31,3.413,538.006,351.95,777.0,462.253,414.04699999999997,187.744,330.37300000000005
28/6/2022,47.108999999999995,147.263,337.456,873.94,890.625,79.24600000000001,511.0,42.844,244.724,542.262,355.17099999999994
28/7/2022,196.18699999999998,189.09,195.675,4.9,1065.246,260.414,1.67,25.78,210.263,64.651,461.41400000000004
29/3/2022,34.15,568.307,316.004,71.0,752.59,55.064,154.0,21.573999999999998,157.175,996.439,316.205
29/4/2022,305.54,240.02,459.289,61.0,458.31399999999996,246.932,161.0,190.248,163.95899999999997,175.586,300.923
29/6/2022,426.587,142.315,502.631,3.85,724.643,444.526,987.0,19.607,947.513,13.818999999999999,666.663
29/7/2022,625.3720000000001,228.965,611.088,1009.675,666.77,347.85699999999997,4.434,340.084,1173.9850000000001,271.26300000000003,158.17000000000002
29/8/2022,34.511,290.001,973.741,79.36,2201.792,786.668,337.0,16.798,201.11,151.369,554.427
3/1/2022,105.655,674.4870000000001,763.356,6.885,1625.308,169.908,239.0,9.451,190.18900000000002,189.95,245.927
3/2/2022,2.734,455.454,262.462,277.2,413.268,33.803,120.0,67.814,99.476,151.399,206.743
3/3/2022,2.296,129.674,331.538,120.96,1510.6390000000001,1035.429,211.0,690.0,62.094,710.78,1239.386
3/6/2022,28.441000000000003,35.601,287.544,608.0,1115.7069999999999,2.825,613.0,461.804,56.689,9.077,441.41499999999996
3/8/2022,921.454,805.112,667.552,162.4,1914.576,248.612,412.0,879.831,533.242,164.576,281.356
30/3/2022,19.901999999999997,16.064,445.138,1.4,1291.415,1067.9180000000001,70.0,141.218,88.56099999999999,1013.12,212.583
30/5/2022,1082.357,566.805,264.411,3.5,936.73,137.147,76.0,43.894999999999996,145.055,39.638999999999996,399.56399999999996
30/6/2022,214.91899999999998,768.652,640.136,61.0,1080.45,126.328,22.726,1168.551,1523.8319999999999,55.342999999999996,1182.049
30/8/2022,45.891,378.3,313.808,310.0,1418.5149999999999,128.313,314.37,808.807,276.402,35.84,368.385
31/1/2022,199.125,654.107,697.1659999999999,61.0,339.02900000000005,551.5889999999999,263.0,863.327,949.345,186.201,306.26
